combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFull,college,ageAtDraft,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle
10149,1987,TE,76.3,244,10.0,Keith McKeller,Jacksonville State (AL),22.816438356164400,31.0,4.84,31.0,16.0,4.63,111.0,,12.7
10150,1987,DE,75.5,267,9.5,Ron McLean,Cal State-Fullerton,24.057534246575300,32.25,4.99,24.0,20.0,4.68,114.0,,
10151,1987,DT,76.9,279,8.5,Bruce Mesner,Maryland,23.117808219178100,32.75,,,20.0,,,,
10152,1987,QB,73.4,190,,Chris Miller,Oregon,21.731506849315100,,4.74,30.5,,4.35,117.0,,
10153,1987,CB,71.1,180,9.5,Roland Mitchell,Texas Tech,23.134246575342500,31.5,4.49,32.0,9.0,4.15,128.0,,11.49
10154,1987,WR,67.4,157,,Stacey Mobley,Jackson State (MS),,,4.55,33.5,7.0,4.52,115.0,,12.09
10155,1987,TE,75.8,241,9.5,Jeff Modesitt,Delaware,,31.75,4.89,30.5,16.0,4.48,112.0,,12.34
10156,1987,FS,71.0,199,9.0,Mark Moore,Oklahoma State,22.663013698630100,30.5,4.7,28.0,7.0,4.1,114.0,,11.23
10157,1987,OG,78.3,288,8.5,Dan Morgan,Penn State,23.24931506849320,31.75,5.25,25.0,14.0,4.84,93.0,,
10158,1987,WR,72.6,187,,Ron Morris,Southern Methodist,22.493150684931500,,4.59,31.5,8.0,4.29,116.0,,11.05
10159,1987,RB,69.6,201,9.75,Bobby Morse,Michigan State,21.58082191780820,29.75,4.65,29.0,14.0,4.07,110.0,,11.5
10160,1987,CB,70.4,193,8.25,Gary Moss,Georgia,,30.0,,,12.0,,,,
10161,1987,OLB,75.3,235,9.25,Winston Moss,Miami (FL),21.356164383561600,31.5,4.69,30.0,16.0,4.36,111.0,,11.62
10162,1987,OLB,72.5,230,9.5,Ron Moten,Florida,22.63013698630140,30.25,4.8,30.5,20.0,,116.0,,
10163,1987,DT,75.1,256,9.5,Mark Mraz,Utah State,22.22739726027400,31.0,4.92,28.0,21.0,4.53,113.0,,
10164,1987,FB,73.0,224,9.75,Jamie Mueller,Benedictine (KS),22.578082191780800,31.25,4.61,33.0,19.0,3.99,117.0,,11.31
10165,1987,OLB,74.0,238,9.0,Marc Munford,Nebraska,22.213698630137000,30.5,4.78,30.0,15.0,4.31,110.0,,11.85
10166,1987,WR,68.9,178,,Ricky Nattiel,Florida,21.268493150684900,,4.41,32.0,,,116.0,,
10167,1987,WR,73.3,208,,Frankie Neal,Fort Hays State (KS),21.586301369863000,,4.51,35.0,,4.38,120.0,,11.63
10168,1987,WR,75.8,208,,Calvin Nicholas,Grambling State (LA),22.893150684931500,,4.67,27.5,12.0,4.4,117.0,,11.99
10169,1987,DT,73.0,263,9.25,Gerald Nichols,Florida State,23.22739726027400,31.25,4.93,25.0,22.0,4.48,109.0,,
10170,1987,ILB,73.5,223,9.5,Hardy Nickerson,California,21.66849315068490,30.5,4.82,28.0,19.0,4.15,108.0,,11.46
10171,1987,DT,75.0,274,9.75,Danny Noonan,Nebraska,21.802739726027400,32.25,4.82,32.0,,4.38,115.0,,
10172,1987,OG,75.0,279,10.25,Paul O'Connor,Miami (FL),24.487671232876700,32.0,5.39,24.0,,4.62,93.0,,
10173,1987,CB,69.3,188,9.0,Nate Odomes,Wisconsin,21.687671232876700,30.75,4.43,33.5,18.0,4.3,119.0,,11.59
10174,1987,RB,73.6,250,9.75,Christian Okoye,Azusa Pacific (CA),25.715068493150700,33.0,,31.0,21.0,,,,
10175,1987,RB,70.8,194,9.5,Darryl Oliver,Miami (FL),22.805479452054800,31.5,4.63,28.0,12.0,4.4,112.0,,12.07
10176,1987,OLB,75.0,233,8.0,Bob Ontko,Penn State,23.117808219178100,31.0,4.92,28.5,23.0,4.28,116.0,,11.9
10177,1987,RB,69.3,184,9.75,Paul Palmer,Temple,22.55068493150690,29.75,4.53,30.0,11.0,4.22,116.0,,11.49
10178,1987,WR,71.1,180,,Keith Paskett,Western Kentucky,22.4027397260274,,4.5,29.0,4.0,4.35,111.0,,11.65
10179,1987,OG,74.0,294,10.0,Todd Peat,Northern Illinois,22.953424657534200,31.5,5.37,26.0,18.0,4.92,100.0,,
10180,1987,FS,72.5,200,9.5,Tim Peoples,Washington,22.76986301369860,32.75,4.55,29.0,,4.44,112.0,,11.82
10181,1987,OT,76.6,281,9.5,Victor Perry,Georgia,,32.0,5.22,27.5,,4.81,99.0,,
10182,1987,FB,72.8,234,9.25,Bob Perryman,Michigan,22.545205479452100,31.75,,29.0,15.0,4.34,108.0,,11.99
10183,1987,OG,75.5,260,9.75,Phil Pettey,Missouri,,31.75,5.27,23.0,17.0,4.54,100.0,,
10184,1987,OLB,71.1,231,10.0,Tim Pidgeon,Syracuse,22.616438356164400,29.0,4.69,30.0,22.0,4.02,111.0,,11.26
10185,1987,DT,78.9,292,9.25,Chris Pike,Tulsa (OK),23.304109589041100,34.25,,,31.0,,,,
10186,1987,SS,71.9,196,8.75,Bruce Plummer,Mississippi State,22.66849315068490,30.25,4.57,29.5,,4.17,118.0,,11.76
10187,1987,RB,73.6,209,9.5,Kerry Porter,Washington State,22.60821917808220,31.75,4.47,32.5,9.0,4.18,118.0,,11.48
10188,1987,SS,70.0,186,9.0,Tommy Powell,Auburn,,30.0,,,11.0,,,,
10189,1987,QB,73.0,206,,Jeff Van Raaphorst,Arizona State,,,4.83,24.0,8.0,4.41,106.0,,
10190,1987,C,77.8,290,9.75,Gregg Rakoczy,Miami (FL),21.958904109589000,32.5,5.41,24.5,15.0,4.34,93.0,,
10191,1987,QB,73.5,204,,Bill Ransdell,Kentucky,24.052054794520500,,4.96,24.0,10.0,4.22,99.0,,
10192,1987,TE,75.3,254,10.75,Albert Reese,Southern Methodist,,33.0,4.99,28.5,,4.42,107.0,,12.09
10193,1987,TE,73.3,229,9.25,Jerry Reese,Illinois,23.71232876712330,31.5,4.73,27.5,14.0,4.37,107.0,,11.73
10194,1987,ILB,73.3,230,9.75,Michael Reid,Wisconsin,22.854794520547900,30.25,4.85,28.0,17.0,4.41,112.0,,11.68
10195,1987,K,68.4,189,9.25,Carlos Reveiz,Tennessee,23.035616438356200,28.75,5.1,22.0,10.0,4.47,96.0,,
10196,1987,CB,71.6,182,8.75,Ricky Reynolds,Washington State,22.284931506849300,29.5,4.48,30.5,16.0,4.17,118.0,,11.03
10197,1987,WR,71.3,185,,Craig Richardson,Eastern Washington,23.476712328767100,,4.62,34.5,14.0,4.35,119.0,,11.52
10198,1987,WR,67.3,164,,Greg Richardson,Alabama,22.572602739726000,,4.35,28.0,1.0,4.21,113.0,,11.54
10199,1987,OT,78.0,261,9.75,Doug Riesenberg,California,21.78082191780820,32.5,5.14,21.5,21.0,4.43,99.0,,
10200,1987,TE,77.0,245,10.0,Jim Riggs,Clemson,23.610958904109600,32.25,4.78,25.5,18.0,4.34,100.0,,12.08
10201,1987,OT,77.0,284,10.0,Bob Riley,Indiana,22.86027397260270,33.5,5.22,24.0,24.0,4.5,100.0,,
